Dışa Aktarım Tarihi:,21.08.2026 08:39:22
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00",""
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","",""
LKF,İŞ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,5,"12,1087","","","","","",""
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"-0,8024","5,6334","15,2876","21,2168","","",""
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2313","9,8348","19,4864","25,5704","44,1044","218,1364","364,6374"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,2,"3,1884","9,7347","19,3875","25,7791","44,2808","227,2416","435,1999"
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"11,187","5,509","-1,569","15,5932","57,9557","322,315",""
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,1,"3,259","10,0659","20,467","26,6909","45,728","233,3447",""
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,3335","10,3226","20,9283","27,333","46,8805","",""
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7722","4,2969","-5,6375","11,8125","52,716","276,8488","1095,9997"
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"11,17","","","","","",""
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,3,"2,7644","8,3042","17,6168","23,2432","38,213","173,0555","438,9843"
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2107","","","","","",""
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,559","4,1319","-5,9815","9,966","52,947","288,0536",""
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3537","","","","","",""
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"1,6602","8,4239","18,4207","24,5345","43,3021","",""
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,5,"-0,0447","-2,3576","11,7813","27,8378","29,2797","",""
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,2122","10,0459","20,2596","26,5807","45,1727","",""
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3019","10,2013","20,6057","26,9192","46,1594","",""
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3003","10,2419","20,535","26,6823","","",""
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7751","2,9254","-8,2238","9,7109","53,3289","293,5703","1076,7547"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,4,"2,5537","7,5043","12,7841","16,0454","27,0683","135,0129","487,8164"
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,1,"3,4869","10,5968","20,7249","26,9965","46,2505","217,6074","352,6393"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2005","9,7823","19,2679","25,341","43,5229","214,4742","363,2795"
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,4,"6,949","11,2296","20,1289","34,1833","46,6015","",""
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,6973","4,6806","-6,1327","8,1542","52,8606","",""
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,2,"-0,8454","5,3868","14,6782","20,5481","38,5323","",""
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Şemsiye Fonu,2,"3,2028","9,9822","20,1048","26,1979","44,8282","",""
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7924","1,8335","-10,7348","-1,0224","40,029","258,6841","1141,2498"
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3113","10,1856","20,2867","26,49","45,6316","",""
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,4749","10,4147","22,3241","29,8406","","",""
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,6,"-0,4007","-4,0892","2,9446","15,7639","","",""
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2044","9,7705","19,3288","25,3506","43,7557","219,7062","369,9342"
VFO,V PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"0,00","","","","","",""
VKK,VAKIF KATILIM PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,2,"3,2593","","","","","",""
VKV,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,2,"3,2757","","","","","",""
VLT,VAKIF KATILIM PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,4465","","","","","",""
VPA,VAKIF KATILIM PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,2926","10,2982","","","","",""
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,4,"4,7713","7,0992","12,7533","23,6014","","",""
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,2,"2,4474","7,0827","14,8813","21,249","39,1323","190,4751","398,3743"
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,3,"3,536","9,4807","18,8625","28,047","45,4182","",""
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,4,"4,9397","8,7449","19,5543","36,25","40,5544","",""
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Şemsiye Fonu,6,"2,0916","6,3023","10,9275","13,7283","23,7293","124,714","589,2437"
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,2,"3,0139","9,3446","18,396","23,8987","41,7711","206,1278","406,4086"
ZPO,ZİRAAT PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"","3,5187","","","","","",""
