Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%),Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%),Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"495126736,39","0,00",-100,"63121859,00","0,00",-100,"-100,00","1,5","1,5",0,"3,65",2.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"24440785709,46","0,00",-100,"3278419157,00","0,00",-100,"-100,00","1,5","1,5",0,"2,56",1.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,Katılım Fonu,"256733943,97","0,00",-100,"225975950,00","0,00",-100,"-100,00","2,2","2,2",0,"3,65",5.0,"0,00","0,00",,,,,
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Fonu,"115130869,28","0,00",-100,"79951571,00","0,00",-100,"-100,00","2,5","2,5",0,"3,65",5.0,"0,00","0,00","0,00","0,00","0,00",,
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Fonu,"209675863,36","0,00",-100,"125581422,00","0,00",-100,"-100,00",2,2,0,"3,65",3.0,"0,00","0,00","0,00","0,00","0,00",,
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Fonu,"7420855722,48","0,00",-100,"689071106,00","0,00",-100,"-100,00","1,8","1,8",0,"2,19",6.0,"0,00","0,00","0,00","0,00","0,00","0,00",
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"83369461832,61","0,00",-100,"3276769594,00","0,00",-100,"-100,00","0,3","0,3",0,"2,19",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Fonu,"405563112,56","0,00",-100,"187751074,00","0,00",-100,"-100,00","1,5","1,5",0,"3,65",6.0,"0,00","0,00","0,00","0,00","0,00",,
LKF,İŞ PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"71533592,07","94336007,93","31,88","75593875,00","88923145,00","17,63","12,11","1,9",0,0,"3,65",5.0,"12,1087",,,,,,
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"69056605,81","90368067,24","30,86","49450468,00","65234815,00","31,92","-0,80","1,05",0,0,"1,65",1.0,"-0,8024","5,6334","15,2876","21,2168",,,
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"1359797153,61","1361470963,30","0,12","168647855,04","163569956,04","-3,01","3,23","1,46","1,46","44,10","1,65",1.0,"3,2313","9,8348","19,4864","25,5704","44,1044","218,1364","364,6374"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Fonu,"269615131,07","277351258,15","2,87","28125132,96","28038168,96","-0,31","3,19","1,64","1,64","44,28",0,2.0,"3,1884","9,7347","19,3875","25,7791","44,2808","227,2416","435,1999"
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1050781584,58","1170681908,02","11,41","90780392,00","90962977,00","0,2","11,19",1,1,"57,96","2,19",6.0,"11,187","5,509","-1,569","15,5932","57,9557","322,315",
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Fonu,"301904544,71","322976535,78","6,98","41476355,00","42970838,00","3,6","3,26","1,5","1,5","45,73","3,65",1.0,"3,259","10,0659","20,467","26,6909","45,728","233,3447",
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"1305672632,40","1370191870,80","4,94","731290738,00","742670077,00","1,56","3,33","0,7","0,7","46,88",0,1.0,"3,3335","10,3226","20,9283","27,333","46,8805",,
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"719888267,02","798309187,40","10,89","68159779,00","67024280,00","-1,67","12,77","1,75",0,"52,72","1,65",6.0,"12,7722","4,2969","-5,6375","11,8125","52,716","276,8488","1095,9997"
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"25639323,92","43741895,35","70,6","25468200,00","39084213,00","53,46","11,17","1,25",0,0,"2,19",6.0,"11,17",,,,,,
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Fonu,"848964707,97","860437132,19","1,35","146330891,00","144318749,00","-1,38","2,76","2,09","2,09","38,21","3,65",3.0,"2,7644","8,3042","17,6168","23,2432","38,213","173,0555","438,9843"
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"8891712,42","11631010,41","30,81","8766037,00","11109906,00","26,74","3,21","1,1","1,1",0,,1.0,"3,2107",,,,,,
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"394149949,89","405842861,05","2,97","91913345,00","84080399,00","-8,52","12,56",1,1,"52,95","1,65",6.0,"12,559","4,1319","-5,9815","9,966","52,947","288,0536",
