Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,"3,3071","10,0581","20,5067","26,9889","46,5341","249,5191","442,8807"
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Şemsiye Fonu,2,"3,2526","10,0547","20,4599","26,6462","45,6157","255,2455","442,9488"
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00",""
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"7,7134","2,2549","15,3658","27,5128","52,1808","156,0785",""
GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,6,"12,3076","4,1578","-7,3122","9,6669","51,735","301,8303","1291,8489"
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,8777","2,8286","1,6841","25,0338","27,4645","137,1796","1399,4364"
GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","",""
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,1007","3,3705","0,6997","24,2634","22,3225","134,6433",""
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-5,3618","-7,8427","4,5982","29,8243","24,418","43,3505",""
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"2,6585","1,5198","7,4489","22,1957","50,4561","185,137","922,2103"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,7,"-2,8654","-6,3967","4,6827","16,9091","15,3025","121,9584","352,5787"
GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,5273","3,7101","7,2873","32,4353","37,7526","",""
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,2072","10,0529","20,2442","26,5676","45,6191","238,4761",""
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"4,1084","6,2884","25,6996","51,3585","53,0726","141,2604",""
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"3,8204","7,8148","5,9756","27,8999","38,2858","172,2269","1373,5711"
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"4,3385","3,5833","4,1555","8,2513","21,1095","155,2128",""
GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-0,5895","-4,9129","-4,2652","20,4869","39,7748","156,1959",""
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"","","","","","",""
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,2,"3,4027","9,6015","18,9414","26,1305","44,8153","213,9949","397,1968"
GMA,AZİMUT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"3,2541","9,8302","17,5543","29,5489","43,9041","176,4689","904,9787"
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,7,"0,00","0,00","0,00","0,00","0,00","0,00",""
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"1,1054","5,7561","15,0421","20,0316","1,3251","40,3833",""
GMI,AK PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,7,"19,3533","-7,8293","-13,5266","-2,0958","","",""
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,3537","10,1078","20,5863","26,9293","","",""
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-2,0609","-3,4939","1,1477","13,4708","21,0981","90,983","1055,3666"
GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"-1,6424","-2,4668","5,503","18,6007","16,9765","",""
GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,7207","-1,3681","8,3745","19,9675","22,4923","",""
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"3,9258","9,8049","17,2448","29,8524","52,4103","276,929",""
GO2,ONE PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"2,6538","5,8547","13,7301","25,1989","46,7955","235,0782",""
GO3,ONE PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"3,6546","3,928","5,2703","22,8265","40,5724","197,5376",""
GO4,ONE PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"3,9898","4,4349","4,0427","21,197","40,6382","197,7007",""
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,5863","11,07","23,0684","30,7189","53,3276","275,0913",""
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,8766","10,1094","16,8791","49,2389","60,9075","",""
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,8508","1,1604","7,6629","23,4326","23,9967","128,7632","1574,5698"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7936","4,3712","-6,8371","10,6111","49,8367","",""
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,4852","10,7266","","","","",""
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,5,"2,4848","8,2013","10,7809","13,7635","25,6916","135,8143","628,3815"
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,"","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,3,"3,8703","8,0117","16,9169","23,4895","42,7304","182,6271","409,7312"
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"5,0471","25,9806","24,4599","39,4132","51,7132","190,2763","861,8719"
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9306","6,0618","11,2979","13,9794","20,9933","92,892",""
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3465","10,3292","20,6847","26,9974","","",""
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"2,1828","6,1186","28,9419","39,6359","60,5567","",""
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,1,"3,4693","10,3687","20,7092","27,222","47,2363","28,8388","93,253"
GRL,QNB PORTFÖY AGRESİF SERBEST FON,Serbest Şemsiye Fonu,5,"6,4867","6,3803","9,1288","22,0279","37,9206","",""
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9649","6,1481","11,4324","14,1794","21,5205","98,6144",""
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"4,5128","0,6241","24,4923","44,6544","40,744","",""
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,0602","4,4211","12,5546","41,2947","47,04","186,2793","1201,004"
GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"12,9422","4,4365","-6,2308","11,2209","51,5843","263,1855","1121,7968"
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,"3,3143","8,4498","12,8988","17,1713","36,4988","176,537","349,0455"
GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,8337","16,5102","23,2793","43,7215","36,626","",""
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,1507","1,7049","5,8415","30,7849","37,6206","166,323",""
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,3055","10,1146","20,5454","27,0893","46,3071","",""
GUF,İŞ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,7,"18,0955","","","","","",""
GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GUK,GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON,Serbest Şemsiye Fonu,7,"0,00","0,00","0,00","0,00","","",""
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5,"4,238","10,866","5,2611","7,29","25,4553","",""
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00",""
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00",""
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,2965","10,2629","18,3407","24,5682","44,2414","220,1755","424,0979"
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GZG,GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00",""
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00",""
GZM,GLOBAL MD PORTFÖY DURU SERBEST FON,Serbest Şemsiye Fonu,7,"4,9728","16,3807","47,3312","61,2735","31,2368","56,2263","706,929"
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Serbest Şemsiye Fonu,7,"1,1131","13,6858","34,3192","44,6995","63,0173","226,4393","2961,8844"
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,2966","1,2253","2,5358","24,7017","22,5005","116,8763","1062,2822"
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00",""
GZZ,GARANTİ PORTFÖY FİNANSAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00",""
HAI,AHLATCI PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"11,9928","","","","","",""
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,8818","3,9606","-5,1861","12,9666","62,5345","",""
HAR,BV PORTFÖY HARMONY SERBEST FON,Serbest Şemsiye Fonu,7,"5,2948","1,6595","9,1304","21,4746","","",""
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"0,7013","3,3718","8,6018","12,5221","26,1102","",""
HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"","12,7339","4,7648","-6,0637","11,8482","56,1679","301,2908","1194,1705"
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"","0,00","0,00","0,00","0,00","0,00","0,00",""
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","2,7038","3,4364","7,9095","36,905","36,7183","120,2367","1072,357"
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,5,"17,9325","-4,955","","","","",""
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"2,3891","8,3287","16,6625","21,3756","37,3263","",""
HDD,AHLATCI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"6,4244","","","","","",""
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"2,2144","5,7639","11,6919","16,4736","28,0249","186,282",""
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,"2,5046","9,9384","19,087","23,9102","40,2024","270,5281",""
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"3,8837","8,1413","25,0714","44,0611","34,3637","",""
HFO,AHLATCI PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"3,3383","","","","","",""
HFR,A1 CAPİTAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,3246","-3,0178","0,183","21,4996","","",""
HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"6,7264","3,212","16,2016","47,9664","43,1578","190,4271",""
HGR,HEDEF PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,5,"4,1572","11,9932","17,7789","31,2329","","",""
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,7,"-1,2588","-6,785","-3,3481","9,3604","-4,6341","152,6102",""
HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,3,"2,8281","9,509","20,0253","26,2133","47,5156","",""
HIF,HEDEF PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,6,"2,9873","-9,2827","-34,4016","-34,0139","","",""
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,9027","0,5311","-1,6552","15,518","14,3937","",""
HIM,HEDEF PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"2,4496","8,8167","18,1506","22,996","39,0036","261,0016",""
HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"1,0652","4,0111","21,1993","34,9781","56,4579","",""
HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"9,1567","5,5327","10,3597","33,9651","46,0119","211,4853",""
HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"6,5275","10,0778","7,0598","25,2573","32,5279","",""
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,1443","-0,6442","-0,5835","9,913","9,2312","101,5888",""
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,1,"3,8562","11,578","23,6307","31,7041","","",""
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-4,5036","-15,384","5,0001","-5,9465","5,6515","68,3381",""
HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"","2,3914","0,629","1,2595","24,9369","17,5675","100,0617",""
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,Serbest Şemsiye Fonu,5,"3,8575","5,6203","8,4407","10,3067","15,0142","94,3777",""
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"","3,1596","9,2981","14,9001","17,5287","28,2607","188,9896","501,8354"
HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","0,9527","2,792","5,6117","7,8873","14,457","",""
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-1,6487","-4,9658","-7,4154","13,453","11,1593","107,8956",""
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"","4,9133","5,0321","23,5217","28,113","47,4358","274,732","799,7549"
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Fon Sepeti Şemsiye Fonu,"","3,3109","8,1245","15,1497","22,4663","35,6373","154,6061","642,9179"
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,1079","6,6113","12,4267","14,4622","19,7917","111,8206",""
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"","4,1317","2,9611","3,6579","16,3267","14,9268","118,6562","522,0572"
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"2,7253","9,6923","20,226","26,5531","45,7254","",""
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"","3,8832","9,2233","17,2043","24,6365","41,2299","203,3088","462,1985"
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"","3,2944","9,7072","18,7054","24,7961","43,7112","220,973","347,8462"
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-2,3392","3,1415","21,5626","54,7049","60,8434","",""
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,Değişken Şemsiye Fonu,"","2,6232","4,6415","8,4859","22,4875","23,4401","130,6449","953,4222"
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"","3,3326","10,2494","20,6962","27,0936","46,5551","252,1954","384,5557"
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"","3,5695","10,0676","9,494","13,2012","29,8517","122,2731","276,5865"
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"","3,3393","10,2914","20,8454","27,1793","","",""
HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"7,0489","5,7495","29,1638","29,4094","44,6428","",""
HTK,QNB PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"8,0354","","","","","",""
HTS,HSBC PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","3,8327","6,5743","22,6302","24,4244","39,7304","",""
HVI,DENİZ PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,4615","3,2275","3,2976","21,8808","","",""
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,2,"-4,7393","2,1413","12,1793","18,5762","37,7165","243,7431",""
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","1,4695","2,3955","3,7487","30,1756","26,7016","130,8031","1583,4093"
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2,"3,6198","10,8843","22,4122","30,2408","52,2599","273,7188",""
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"-0,6609","5,0228","12,5129","18,0898","27,1256","162,1636",""
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-4,5557","-3,1252","-5,996","10,1103","10,1016","95,9195",""
HYP,AZİMUT PORTFÖY İVME SERBEST FON,Serbest Şemsiye Fonu,6,"3,427","11,7857","29,1128","30,4252","50,222","182,9453","759,0551"
HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"","3,2517","10,0717","20,0519","26,381","45,8684","",""
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,3848","10,2268","20,6087","27,0999","47,8057","265,3468","474,5356"
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"4,6335","9,565","17,8516","53,8576","47,3397","",""
IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"4,425","5,366","6,7564","18,5014","36,1081","",""
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,6,"-0,4983","-0,0536","6,8874","9,0816","11,9995","113,5066","1399,3389"
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"2,9159","8,4468","17,116","22,8069","40,806","192,4972","357,4558"
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,"2,9496","8,6014","17,849","22,627","39,068","197,6375",""
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,6567","3,7263","-7,0048","9,6711","50,4293","",""
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"1,5982","10,4764","12,3251","15,79","37,3089","158,2223","762,9831"
