Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,5,"0,9576","1,3646","1,8172","1,6682","5,9658","",""
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,5947","4,5879","4,9906","31,6966","25,1477","156,5636",""
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"2,8183","3,0172","4,4654","23,2365","33,1409","147,3436","1522,9011"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"15,0393","6,6187","-4,1903","15,3988","","",""
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,0642","8,2486","8,4791","11,4347","22,9855","",""
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,4849","1,7964","-1,9673","17,738","21,2326","89,7525","661,9514"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,3104","10,1108","20,4639","26,7715","46,2412","236,8389","405,3435"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,Değişken Şemsiye Fonu,4,"3,587","8,6864","14,1425","","","",""
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"13,0709","","","","","",""
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,2,"3,8163","9,9976","19,9192","27,0411","53,0057","",""
