Dışa Aktarım Tarihi:,21.08.2026 08:39:26
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,0,"43,30","1,65"
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,1,0,"29,28","3,65"
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,17","1,65"
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3","1,3","46,16","3,65"
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,16",0,0,"3,65"
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"53,33","2,19"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","27,07","3,65"
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,1,1,"46,25","3,65"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5","43,52","2,56"
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,3,0,"46,60","3,65"
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,95","0,95","52,86","2,19"
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,2",0,"38,53","3,65"
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Şemsiye Fonu,"0,9","0,9","44,83","1,65"
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,2","1,2","40,03","4,38"
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,2","1,2","45,63","1,65"
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,0,0,2
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Şemsiye Fonu,"1,05","1,05",0,"3,65"
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5","43,76","2,54"
VFO,V PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,8","1,8",0,"2,19"
VKK,VAKIF KATILIM PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"3,65"
VKV,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"2,56"
VLT,VAKIF KATILIM PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"2,19"
VPA,VAKIF KATILIM PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25",0,"1,65"
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,95","1,95",0,0
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"2,01","2,01","39,13","3,65"
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,2,2,"45,42",0
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,"2,75","2,75","40,55",0
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Şemsiye Fonu,1,1,"23,73","4,38"
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","41,77","4,38"
ZPO,ZİRAAT PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,1,0,""
