Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,5","1,5","22,99",""
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","21,23","1,65"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,5","2,5","46,24","2,56"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,0,"3,65"
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,72","1,72",0,""
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,5",0,"53,01",0
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,75",0,"57,97","3,65"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"2,75","2,75",0,0
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","50,69","3,65"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,25","2,25","68,64","3,65"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,5",0,0,""
BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,"0,7","0,7","4,95",0
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,1,0,"-7,14","3,65"
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,3","3,3","26,96","2,56"
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,0,"31,34","4,38"
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5","2,5",0,"4,38"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,35",0,"6,21","3,65"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,49","0,49","47,38","2,56"
BGR,AK PORTFÖY BIST GYO ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,0,""
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75","2,75","41,93","3,65"
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"49,89",0
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,15","3,15","44,49",""
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,2",0,"38,88",""
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"10,94","3,65"
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"25,66","3,65"
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"91,85","3,65"
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"15,09","3,65"
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,58","1,58","47,97",""
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"3,15",0,"27,99",""
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,0,"3,65"
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,5",0,"20,62",""
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,0,0,""
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,2,"46,07",0
BLT,BULLS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,5","1,5","82,22","2,19"
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"195,01",0
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,Serbest Şemsiye Fonu,"0,15","0,15","35,60",""
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,63","2,63","-2,88",""
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,5","1,5","37,07","3,65"
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,9",0,0,0
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,0,0
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,75","0,75","51,09","1,65"
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,0,4,"35,09",""
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5","2,5","47,24","3,65"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,5",0,"47,47","2,56"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,0,"-36,88",0
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,0,"2,2",0,0
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,0,""
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,75",0,"-3,84",0
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,Serbest Şemsiye Fonu,"2,9",0,0,0
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1,0,"23,07","3,65"
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","51,24","3,65"
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,"36,88",""
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"15,41","3,65"
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"4,38"
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,Serbest Şemsiye Fonu,3,3,"8,04",0
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,3","3,3","24,20","2,56"
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"50,73","3,65"
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,"0,8","0,8",0,"1,65"
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,3,3,0,0
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"0,5",0,"-60,79","3,65"
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","85,61","3,65"
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"4,2","4,2","47,81",""
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,9",0,0,0
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"0,3",0,"47,58","1,65"
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"2,1","2,1","34,92","3,65"
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,55","2,55","63,05","3,65"
CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"46,58","3,65"
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,6","0,6","24,06",""
CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"121,16","3,65"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,2,0,"91,63","3,65"
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,75","1,75","40,19","3,65"
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,25",0,0,0
DA1,A1 CAPİTAL PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,0,0,0
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,92",0,"22,22","3,65"
DAP,DESTEK PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"0,26","0,26",0,""
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,8","0,8","21,64",0
DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,2,0,"55,51","2,19"
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,2,"35,67","3,65"
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,75","1,75","24,19","3,65"
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,4",0,"45,55","2,56"
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"38,14","3,65"
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,0,"46,48","3,65"
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,05","1,05","47,22",0
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"-6,73",0
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"0,6","0,6","42,86",0
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Şemsiye Fonu,"2,25",0,0,"3,65"
DEH,DESTEK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,89","2,89",0,""
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","24,86","3,65"
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","43,18",0
DFI,ATLAS PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,2,2,"1258,20",0
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,9",0,0,0
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,95","0,95","49,24",""
