Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,0
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,0
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,5","1,5","44,24","4,38"
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,3,3,0,"3,65"
GZG,GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"3,65"
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GZM,GLOBAL MD PORTFÖY DURU SERBEST FON,Serbest Şemsiye Fonu,"2,9",0,"31,24",0
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","63,02",0
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"3,65"
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,2","2,2","22,50","3,65"
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,9","2,9",0,"3,65"
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GZZ,GARANTİ PORTFÖY FİNANSAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,0,"3,65"
HAI,AHLATCI PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,0,"2,04",0,"2,19"
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","62,53","3,65"
HAR,BV PORTFÖY HARMONY SERBEST FON,Serbest Şemsiye Fonu,"2,88","2,88",0,""
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,4,4,"26,11",""
HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,8","1,8","56,17","2,19"
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"2,19"
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,1,1,"36,72","2,19"
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,95","2,95",0,"3,65"
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,5","3,5","37,33",""
HDD,AHLATCI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,1","2,1",0,""
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,5,5,"28,02",""
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"4,5","4,5","40,20",""
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"34,36",""
HFO,AHLATCI PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,6","2,6",0,""
HFR,A1 CAPİTAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75",0,0,0
HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,7","2,7","43,16","3,65"
HGR,HEDEF PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,"3,75","3,75",0,""
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,2,2,"-4,63",""
HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"3,5","3,5","47,52",""
HIF,HEDEF PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,"4,5","4,5",0,""
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","14,39",0
HIM,HEDEF PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,75","3,75","39,00",""
HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,35",0,"56,46","3,65"
HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,3,"46,01","3,65"
HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,25","2,25","32,53",0
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,7","2,7","9,23","3,65"
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,1,1,0,""
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"5,65",""
HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,9","2,9","17,57",""
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,Serbest Şemsiye Fonu,3,3,"15,01",""
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","28,26",""
HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","14,46",""
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"11,16","2,19"
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,75","1,75","47,44","2,19"
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Fon Sepeti Şemsiye Fonu,"2,01","2,01","35,64","2,19"
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","19,79",""
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","14,93","2,19"
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,73","3,65"
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,53","1,53","41,23","2,19"
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,37","2,37","43,71","2,19"
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"60,84","3,65"
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,Değişken Şemsiye Fonu,"2,5","2,5","23,44","2,19"
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","46,56","2,19"
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,19","2,19","29,85","2,19"
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,0,""
HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,95","2,95","44,64","3,65"
HTK,QNB PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5","2,5",0,"4,38"
HTS,HSBC PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,2,2,"39,73",""
HVI,DENİZ PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9","1,9",0,"3,65"
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,25","2,25","37,72","3,65"
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","26,70","2,19"
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25",0,"52,26","1,65"
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,1",0,"27,13","3,65"
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,7",0,"10,10","3,65"
HYP,AZİMUT PORTFÖY İVME SERBEST FON,Serbest Şemsiye Fonu,"0,42",0,"50,22",""
HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,75","0,75","45,87",""
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","47,81","3,65"
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"3,15","3,15","47,34","3,65"
IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,"36,11","3,65"
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,"2,62",0,"12,00",""
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,75",0,"40,81","3,65"
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"1,5",0,"39,07","3,65"
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","50,43","4,38"
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"37,31","3,65"
ICA,TEB PORTFÖY ICBC TURKEY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,75","1,75","50,08","2,19"
ICC,TEB PORTFÖY BEŞİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"30,56","2,19"
ICD,TEB PORTFÖY DÖRDÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,95","1,95","38,46","2,19"
ICE,TEB PORTFÖY ICBC TURKEY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,24","1,24","46,23","2,19"
ICF,TEB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"22,58","2,19"
ICH,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,5",0,"78,21",0
ICS,TEB PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"13,24","2,19"
ICV,TEB PORTFÖY ONDOKUZUNCU SERBEST FON,Serbest Şemsiye Fonu,"0,75","0,75","31,77","2,19"
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9","2,9","65,49","2,56"
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,Serbest Şemsiye Fonu,"2,1","2,1","25,98",""
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,0,"24,17",""
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"27,83","3,65"
IDI,AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,95",0,"48,79","3,65"
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,95","0,95","46,62","1,65"
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,6",0,"20,44",""
IDY,TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","51,96","1,65"
IED,İŞ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,0,"3,65"
IEN,İSTANBUL PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,0,"3,14",0,""
IEV,İŞ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"35,17","3,65"
IFN,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"12,46","2,19"
IFV,TEB PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,7","1,7","46,61","2,19"
IGZ,İŞ PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"0,2",0,"33,79",""
IH1,İNCİR PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9",0,0,""
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75",0,"22,07","3,65"
IHC,INVEO PORTFÖY INTER SERBEST FON,Serbest Şemsiye Fonu,"2,28","2,28","56,80","4,38"
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"14,07","3,65"
IHP,İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,15",0,"25,31",""
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"15,12","3,65"
IHV,INVEO PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","-2,09","4,38"
IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,15",0,"-18,59","3,65"
IIE,BULLS PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,"3,15","3,15","-32,52",0
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","23,24","3,65"
IIN,INVEO PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,05",0,0,"3,65"
IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"41,18","4,38"
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,Karma Şemsiye Fonu,"2,75",0,"13,92","3,65"
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"92,84","3,65"
IJH,TEB PORTFÖY ICBC TURKEY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,75","0,75",0,"2,19"
IJI,İSTANBUL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON ),Serbest Şemsiye Fonu,"2,62","2,62","103,65",""
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,"2,75",0,"51,19","3,65"
IJT,İŞ PORTFÖY TARIM SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","30,72",""
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,05",0,"47,80","1,65"
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"58,51","3,65"
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,Karma Şemsiye Fonu,"2,75",0,"39,75","3,65"
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,Karma Şemsiye Fonu,"2,5",0,"56,10","3,65"
IKV,İŞ PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,2,0,"44,52","3,65"
ILU,İSTANBUL PORTFÖY ONALTINCI SERBEST FON,Serbest Şemsiye Fonu,"0,21","0,21","61,24",""
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,"38,34","3,65"
IMB,İSTANBUL PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,62","2,62","14,67","3,65"
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,Serbest Şemsiye Fonu,"3,15",0,"27,67",""
IML,İŞ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"30,28","3,65"
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","94,65",""
IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,05","1,05","46,48","3,65"
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,1",0,"37,21","3,65"
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,"31,91","3,65"
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,Karma Şemsiye Fonu,"2,5",0,"54,49","3,65"
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,2,0,"24,19","3,65"
IRB,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,0,"3,15",0,""
IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"4,38"
IRO,İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,"3,15","3,15","38,37",""
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,95","1,95","77,69","4,38"
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,3,0,"39,72",""
IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,89","0,89","49,04","3,65"
IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,6","1,6","48,49","2,56"
ITC,INVEO PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5",0,0,"4,38"
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Karma Şemsiye Fonu,"2,75",0,"51,54","3,65"
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,5",0,"24,30",""
IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,"61,24","4,38"
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,Serbest Şemsiye Fonu,1,0,"25,06",""
IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","40,84","4,38"
IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5",0,"47,45","3,65"
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5",0,"42,10","3,65"
IYB,AURA PORTFÖY DEĞİŞKEN FONU,Değişken Şemsiye Fonu,"2,4","2,4","41,76","3,65"
IYV,İSTANBUL PORTFÖY AŞİYAN SERBEST FON,Serbest Şemsiye Fonu,0,"3,15",0,""
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,"2,5",0,"48,21",""
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,3,0,"6,87",""
JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","36,71","1,65"
JUP,AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,95","1,95","10,24",0
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,3","0,3",0,""
KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"0,25","0,25",0,"3,65"
KCR,AK PORTFÖY KÜLÇE ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,""
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,Katılım Şemsiye Fonu,"1,75","1,75",0,"3,65"
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,3","0,3",0,""
KDO,İŞ PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,6",0,0,""
KDT,GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,4","0,4","23,39",0
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,8","1,8",0,"3,65"
KH1,AK PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,0,"2,56"
KHA,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,5",0,"124,17","3,65"
KHB,KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,92","2,92",0,"3,65"
KHC,PARDUS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,5",0,"34,05","3,65"
KHJ,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"24,58","3,65"
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,"-22,92","3,65"
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,15","2,15","26,20","3,65"
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","30,03","3,65"
