Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"189264475,45","211912716,63","11,97","334613096,00","357914361,00","6,96","4,68"
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"2141098771,41","2154162623,88","0,61","521033012,00","513340518,00","-1,48","2,12"
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"675761537,05","661772064,18","-2,07","482780530,00","466527932,00","-3,37","1,34"
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"2588412761,87","2564341440,92","-0,93","3078866172,97","2952587882,97","-4,1","3,31"
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Fon,"6156749279,17","6319492025,71","2,64","925695225,00","920232718,00","-0,59","3,25"
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"2495927646,82","0,00",-100,"194813756,00","0,00",-100,"-100,00"
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Fonu,"1103012191,06","1123813924,77","1,89","339344354,00","320985016,00","-5,41","7,71"
GGK,INVEO PORTFÖY ALTIN FON,Altın Fonu,"2381660426,69","2590144244,21","8,75","188806304,00","182831691,00","-3,16","12,31"
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3246304313,27","2771067583,21","-14,64","83178405,00","69015571,00","-17,03","2,88"
GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Değişken Fon,"49268209,22","0,00",-100,"29328767,00","0,00",-100,"-100,00"
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"81527313,33","73641958,37","-9,67","22987922,00","20337299,00","-11,53","2,10"
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"13039442,92","10312366,97","-20,91","5308649,00","4436261,00","-16,43","-5,36"
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"80566355,68","77510356,94","-3,79","7807367,00","7316705,00","-6,28","2,66"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Fonu,"40204179,04","41924669,78","4,28","8604095,00","9236970,00","7,36","-2,87"
GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"44801271,77","46422467,81","3,62","32049263,00","32390403,00","1,06","2,53"
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Fon,"6389580661,67","6373384935,81","-0,25","1471316542,00","1421982156,00","-3,35","3,21"
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"381618459,13","374856793,30","-1,77","45495418,00","42925750,00","-5,65","4,11"
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1300190830,98","1417969711,57","9,06","885851,00","930546,00","5,05","3,82"
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Fonu,"16006662,55","16824480,84","5,11","3841533,00","3869911,00","0,74","4,34"
GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"35280493,35","27636962,84","-21,67","4300723,00","3388948,00","-21,2","-0,59"
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"0,00","49082576,17",0,"0,00","48075138,00",0,"0,00"
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Fonu,"379773274,84","391465111,25","3,08","2303894727,00","2296675573,00","-0,31","3,40"
GMA,AZİMUT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"2512818284,40","2670010459,04","6,26","1195031242,56","1229770256,56","2,91","3,25"
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Fonu,"3643470554,71","0,00",-100,"546590170,00","0,00",-100,"-100,00"
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"3229432,77","3245607,88","0,5","1188709,00","1181601,00","-0,6","1,11"
GMI,AK PORTFÖY GÜMÜŞ SERBEST FON,Serbest Fon,"557925563,16","663817126,41","18,98","475672940,00","474183674,00","-0,31","19,35"
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"84603227,52","78132022,79","-7,65","64124357,00","57297969,00","-10,65","3,35"
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"203959451,75","179656655,31","-11,92","142955050,00","128570896,00","-10,06","-2,06"
GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"7343651,31","7215429,54","-1,75","4886542,00","4881395,00","-0,11","-1,64"
GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"80243371,35","70589574,05","-12,03","47212580,00","45500568,00","-3,63","-8,72"
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"90476042,78","79989772,54","-11,59","19661575,00","16726142,00","-14,93","3,93"
GO2,ONE PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Fonu,"26719433,48","25821893,45","-3,36","5554174,00","5228841,00","-5,86","2,65"
GO3,ONE PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Fonu,"37930053,92","37304562,19","-1,65","7967826,00","7560134,00","-5,12","3,65"
GO4,ONE PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Fonu,"59355171,12","49993528,00","-15,77","11548337,00","9353714,00",-19,"3,99"
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"5035139103,08","5657087165,81","12,35","1224425217,00","1328040835,00","8,46","3,59"
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"467142186,87","482999410,32","3,39","167490380,00","171671003,00","2,5","0,88"
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"621053317,00","611895282,04","-1,47","38355617,00","37103303,00","-3,27","1,85"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"4372991977,99","4576949253,64","4,66","1717891356,00","1594074727,00","-7,21","12,79"
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"1449265629,60","2151298598,03","48,44","1231918743,00","1767080627,00","43,44","3,49"
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Fonu,"824777215,29","816516239,96",-1,"36249824,00","35016643,00","-3,4","2,48"
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"1227557961,62","0,00",-100,"104416795,00","0,00",-100,"-100,00"
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Fon,"6886070972,39","0,00",-100,"97445953,00","0,00",-100,"-100,00"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"611282110,83","686364945,22","12,28","69272556,00","74882978,00","8,1","3,87"
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"979544284,54","1071259672,75","9,36","59980565,00","62444951,00","4,11","5,05"
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"747844214,64","0,00",-100,"41617652,00","0,00",-100,"-100,00"
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Fon,"98360213884,44","99014057509,39","0,66","1884348386,00","1860947624,00","-1,24","1,93"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"4699098612,91","5098312762,24","8,5","3491811069,00","3665784060,00","4,98","3,35"
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"109829598,11","111155702,34","1,21","40133687,00","39750597,00","-0,95","2,18"
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Fon,"357473749,20","0,00",-100,"17441892,00","0,00",-100,"-100,00"
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Para Piyasası Fonu,"2865391554,94","3022485826,12","5,48","1511386696,00","1540793752,00","1,95","3,47"
GRL,QNB PORTFÖY AGRESİF SERBEST FON,Serbest Fon,"695795308,36","505719929,45","-27,32","405004988,00","276435296,00","-31,75","6,49"
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,Serbest Fon,"188156339820,85","193340976184,20","2,76","3537952893,00","3565384145,00","0,78","1,96"
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"134901638,00","126816966,63","-5,99","83382910,00","75001100,00","-10,05","4,51"
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3859286550,27","4278932302,13","10,87","6748545654,00","7403866730,00","9,71","1,06"
GTA,GARANTİ PORTFÖY ALTIN FONU,Altın Fonu,"22556183880,02","24987405534,66","10,78","15580412559,00","15281941811,00","-1,92","12,94"
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"155861851,95","146393696,45","-6,07","10830192,20","9845961,20","-9,09","3,31"
GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"34945250,99","31254326,67","-10,56","23340877,00","20300337,00","-13,03","2,83"
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1118189076,71","1065075525,31","-4,75","142899427,00","133246097,00","-6,76","2,15"
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Fon,"460943299,02","0,00",-100,"75328556,00","0,00",-100,"-100,00"
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Fonu,"11385620363,00","0,00",-100,"1124526918,00","0,00",-100,"-100,00"
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"3409706507,56","4225511022,06","23,93","1372371184,00","1646305532,00","19,96","3,31"
GUF,İŞ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Fonu,"357314078,05","586553782,49","64,16","453124288,00","629856865,00",39,"18,10"
GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,Hisse Senedi Fonu,"4546879996,97","0,00",-100,"10337341890,00","0,00",-100,"-100,00"
GUK,GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON,Serbest Fon,"985152354,56","0,00",-100,"805795867,00","0,00",-100,"-100,00"
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Fonu,"5861117977,74","0,00",-100,"544698006,00","0,00",-100,"-100,00"
GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"589189286,57","552059988,79","-6,3","355076249,00","319173667,00","-10,11","4,24"
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,Değişken Fon,"100051555,19","0,00",-100,"24152541,00","0,00",-100,"-100,00"
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Fonu,"1214180127,95","0,00",-100,"221483988,00","0,00",-100,"-100,00"
GYK,INVEO PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"79639164,24","83364150,23","4,68","717878562,00","727476499,00","1,34","3,30"
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Fon,"1434687092,49","0,00",-100,"200755966,00","0,00",-100,"-100,00"
GZG,GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"413305828,99","0,00",-100,"57838106,00","0,00",-100,"-100,00"
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,Değişken Fon,"432013110,67","0,00",-100,"88824288,00","0,00",-100,"-100,00"
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"1796514232,59","0,00",-100,"212171063,00","0,00",-100,"-100,00"
GZL,GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON,Değişken Fon,"341858731,92","0,00",-100,"61024553,00","0,00",-100,"-100,00"
GZM,GLOBAL MD PORTFÖY DURU SERBEST FON,Serbest Fon,"418414708,04","648741218,03","55,05","43315045,00","63977413,00","47,7","4,97"
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Serbest Fon,"405971494,73","386074212,70","-4,9","8153041,00","7668095,00","-5,95","1,11"
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"4004486582,12","0,00",-100,"536747569,00","0,00",-100,"-100,00"
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1074457933,85","1065594310,10","-0,82","91915315,00","91428228,00","-0,53","-0,30"
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Fonu,"97855916,18","0,00",-100,"11667031,00","0,00",-100,"-100,00"
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Fon,"84801128,36","0,00",-100,"10922040,00","0,00",-100,"-100,00"
GZZ,GARANTİ PORTFÖY FİNANSAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Fon,"73731432,99","0,00",-100,"11054086,00","0,00",-100,"-100,00"
HAI,AHLATCI PORTFÖY ALTIN FONU,Altın Fonu,"9305089,92","10663322,47","14,6","9861576,00","10090870,00","2,33","11,99"
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1446686070,94","1583344490,29","9,45","516971431,00","501237410,00","-3,04","12,88"
HAR,BV PORTFÖY HARMONY SERBEST FON,Serbest Fon,"38449503,07","40477569,17","5,27","36784979,00","36777933,00","-0,02","5,29"
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"4979541,81","3547468,56","-28,76","2667923,00","1887415,00","-29,26","0,70"
HBF,HSBC PORTFÖY ALTIN FONU,Altın Fonu,"5958492720,61","6442746800,20","8,13","128725914,00","123465615,00","-4,09","12,73"
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"574867669,32","0,00",-100,"136206289,00","0,00",-100,"-100,00"
HBU,HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"462252491,93","469775776,20","1,63","324308400,00","320909921,00","-1,05","2,70"
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"132634201,37","166881053,00","25,82","153105042,00","163345686,00","6,69","17,93"
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"131862440,91","96135600,24","-27,09","43116494,00","30701019,00","-28,8","2,39"
HDD,AHLATCI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"4904759,94","8126323,66","65,68","4815163,00","7496289,00","55,68","6,42"
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"11917590,75","12148251,81","1,94","4047864,00","4036816,00","-0,27","2,21"
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"638635048,17","642119149,15","0,55","198792342,00","194993092,00","-1,91","2,50"
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"58129048,19","61401883,51","5,63","33230089,00","33788767,00","1,68","3,88"
HFO,AHLATCI PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3674774,25","4772326,79","29,87","3655960,00","4594513,00","25,67","3,34"
HFR,A1 CAPİTAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Yoğun,"76212138,19","31763841,42","-58,32","52407149,00","21771686,00","-58,46","0,32"
HGM,HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"148994768,44","155744386,87","4,53","38584445,00","37790428,00","-2,06","6,73"
HGR,HEDEF PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Fon,"28385860,97","38920316,60","37,11","22014906,00","28980219,00","31,64","4,16"
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Fon,"29003603,36","24811338,44","-14,45","5749805,00","4981418,00","-13,36","-1,26"
HIA,HEDEF PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Fon,"1269201777,97","1368998339,06","7,86","841059064,00","882240061,00","4,9","2,83"
HIF,HEDEF PORTFÖY İKİNCİ SERBEST FON,Serbest Fon,"10911598,59","11375768,42","4,25","20974086,00","21232053,00","1,23","2,99"
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"260432867,41","226487388,10","-13,03","181719718,00","159473431,00","-12,24","-0,90"
HIM,HEDEF PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"281930756,61","281065532,49","-0,31","72330000,00","70383917,00","-2,69","2,45"
HIZ,AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON,Değişken Fon,"205814606,07","212557523,56","3,28","101289255,00","103505179,00","2,19","1,07"
HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"123274501,26","109643740,42","-11,06","29343671,00","23909720,00","-18,52","9,16"
HKG,ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON,Değişken Fon,"33296474,01","35755297,84","7,38","23291666,00","23479068,00","0,8","6,53"
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1242232315,28","821476160,23","-33,87","142972808,00","94683131,00","-33,78","-0,14"
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Serbest Fon,"11270503087,18","15320869665,01","35,94","8338855589,00","10914757289,00","30,89","3,86"
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"63919313,03","50122760,46","-21,58","15225582,00","12502296,00","-17,89","-4,50"
HKR,HSBC PORTFÖY KIRMIZI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"1552120035,53","1521783979,13","-1,95","394990654,00","378225596,00","-4,24","2,39"
HMC,HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON,Serbest Fon,"379685184,87","448103933,82","18,02","49768836,00","56555484,00","13,64","3,86"
HMG,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON(HİSSE SENEDİ YOĞUN FON),Serbest Fon,"5990382677,55","7183895108,92","19,92","90172834304,00","104826449042,00","16,25","3,16"
HML,HEDEF PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Fon,"15117449,81","15188617,97","0,47","324492,00","322943,00","-0,48","0,95"
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"382400614,01","361207140,75","-5,54","3967690674,00","3810592808,00","-3,96","-1,65"
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Fon,"1874889854,73","2079743573,44","10,93","8119130741,00","8584471939,00","5,73","4,91"
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Yabancı Fon Sepeti Fonu,"1355542532,82","1371747549,10","1,2","3834009742,00","3755501578,00","-2,05","3,31"
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest Fon,"344312176,91","730239479,87","112,09","5999562,00","12461586,00","107,71","2,11"
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"303527663,81","292829149,90","-3,52","1454168243,00","1347249571,00","-7,35","4,13"
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"12521743618,14","7034004188,27","-43,83","5409086814,00","2957905413,00","-45,32","2,73"
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"1149458797,52","1133984059,75","-1,35","7007262945,00","6654505021,00","-5,03","3,88"
HPT,HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"2813776379,24","3098093118,03","10,1","25670934827,00","27363555464,00","6,59","3,29"
HRZ,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"475624557,08","314983293,36","-33,77","197785740,00","134121342,00","-32,19","-2,34"
HSA,HSBC PORTFÖY DEĞİŞKEN (TL) FON,Değişken Fon,"4093769817,11","4107664986,90","0,34","2546543,00","2489872,00","-2,23","2,62"
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"25215960761,78","26087274129,35","3,46","63141566,00","63216612,00","0,12","3,33"
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"390526347,33","382188376,18","-2,14","402381479,33","380218421,33","-5,51","3,57"
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"4999849702,42","5186730211,58","3,74","3570356343,00","3584121748,00","0,39","3,34"
HTJ,HEDEF PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Fon,"21508295,92","39422359,56","83,29","11785343,00","20178869,00","71,22","7,05"
HTK,QNB PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ FON SEPETİ FONU,Fon Sepeti Fonu,"140506338,89","140777924,76","0,19","140256084,00","130075262,00","-7,26","8,04"
HTS,HSBC PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,Serbest Fon,"4309944905,58","4562138896,31","5,85","75795106,00","77268717,00","1,94","3,83"
HVI,DENİZ PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"43822351,81","41743923,55","-4,74","33693453,00","32244232,00","-4,3","-0,46"
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"951914167,76","578491128,22","-39,23","171233989,00","109238387,00","-36,21","-4,74"
HVS,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"2867898077,13","2719164400,45","-5,19","1803410637,00","1685120776,00","-6,56","1,47"
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"640914188,01","664483767,36","3,68","140477989,00","140556169,00","0,06","3,62"
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"17994145,76","17525487,28","-2,6","3177397,74","3115230,74","-1,96","-0,66"
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"102369450,56","91967923,63","-10,16","14453214,00","13604435,00","-5,87","-4,56"
HYP,AZİMUT PORTFÖY İVME SERBEST FON,Serbest Fon,"540905118,95","559577700,77","3,45","52476050,00","52488786,00","0,02","3,43"
HYU,HSBC PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Fon,"885792814,96","868556860,70","-1,95","508800916,00","483188708,00","-5,03","3,25"
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"6238796367,42","6224107759,31","-0,24","1018012973,00","982364962,00","-3,5","3,38"
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Fon,"232396298,60","280242088,41","20,59","112096503,00","129189029,00","15,25","4,63"
IAM,İŞ PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Fonu,"88151195,59","77926499,68","-11,6","52570048,00","44503170,00","-15,35","4,43"
IAR,İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Fon,"155890059,79","147703277,16","-5,25","1982812,00","1888090,00","-4,78","-0,50"
