Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Fon,"1294930195,18","1406596721,43","8,62","833599422,00","869717988,00","4,33","4,11"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"132214044,46","113688618,04","-14,01","66932457,00","55773261,00","-16,67","3,19"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"32391074,05","42953180,63","32,61","18378461,00","21990329,00","19,65","10,83"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"4430199152,75","6153924106,04","38,91","80685151,00","107567532,00","33,32","4,19"
BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Fon,"363974138,44","354821280,41","-2,51","41758960,00","39065815,00","-6,45","4,21"
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Yoğun,"319557661,41","230167463,54","-27,97","135244595,00","106394223,00","-21,33","-8,44"
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"99657562,13","96796824,07","-2,87","59411719,00","56071053,00","-5,62","2,92"
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"9455877,86","10168539,96","7,54","5273948,00","5624315,00","6,64","0,84"
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Fonu,"12642912,49","21316291,76","68,6","13735850,00","20671753,00","50,49","12,03"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"247130050,67","195837211,14","-20,76","222878255,00","173193510,00","-22,29","1,98"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"59536929158,20","58303955079,07","-2,07","9419959036,00","8918878032,00","-5,32","3,43"
BGR,AK PORTFÖY BIST GYO ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"0,00","31184905,31",0,"0,00","30726196,00",0,"0,00"
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"91224522,12","90789049,61","-0,48","54170723,00","52881789,00","-2,38","1,95"
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"212232860,55","189976187,94","-10,49","70093623,00","61292394,00","-12,56","2,37"
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"1923039627,60","1962469363,05","2,05","842580762,00","833034680,00","-1,13","3,22"
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"78097375,92","97373159,22","24,68","61207449,00","75136160,00","22,76","1,57"
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"235724014,18","228538897,27","-3,05","71721521,00","69937898,00","-2,49","-0,58"
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"551905024,46","530192435,18","-3,93","387250973,00","366581401,00","-5,34","1,48"
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"820936242,35","884349249,13","7,72","99746618,00","99742631,00",0,"7,73"
